game_id,home_team_id,away_team_id,H0oA1,won(T1F0),settled_in1100,goals,sh1s,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,give1s,take1s,winPctTrain,ptPct,goalRating,scoreFirst,leadFirst,outShoot,teamSeasonScore,gameScore,,,,Avg,Max,Min
2015020045,26,23,0,0,0,0,15,25,13,3,0,50.9,11,3,0.414634146,46.3,-0.426,0.4046,0.7796,0.7796,0.951108537,0.494,,,,,,
2015020046,9,29,1,1,0,7,27,11,15,3,1,42.9,0,3,0.353658537,42.1,-0.586,0.3652,0.6954,0.6954,0.801914634,1.664,,,,,,
2015020046,29,9,0,0,0,3,41,21,13,4,1,57.1,2,3,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,1.726,,,,,,
2015020047,4,16,0,1,0,3,29,28,10,6,1,46.4,3,3,0.585365854,63.4,0.512,0.5644,0.9636,0.9636,1.531241464,1.294,,,,,,
2015020047,16,4,1,0,0,0,30,27,12,5,0,53.6,8,5,0.5,58.5,0.134,0.452,0.7822,0.7822,1.2476,0.791,,,,,,
2015020048,21,6,0,0,0,2,23,16,4,4,1,47.2,3,9,0.37804878,45.7,-0.647,0.3752,0.5964,0.5964,0.781762195,1.612,,,,,,
2015020048,6,21,1,1,0,6,25,6,8,2,0,52.8,1,9,0.426829268,49.4,-0.195,0.4188,0.7674,0.7674,1.040357317,0.888,,,,,,
2015020049,53,24,1,1,0,4,29,15,11,6,1,43.5,11,6,0.42682,47.6,-0.439,0.62304,0.61392,0.3612,0.872495,1.09,,,,,,
2015020049,24,53,0,0,0,0,37,23,17,3,0,56.5,11,7,0.585365854,62.2,0.379,0.5572,0.786,0.786,1.395391464,0.8,,,,,,
2015020050,2,18,0,1,0,4,28,43,6,2,0,50,14,14,0.56097561,61.6,0.219,0.5066,0.8474,0.8474,1.361343903,0.935,,,,,,
2015020050,18,2,1,0,0,3,47,33,6,2,0,50,11,12,0.426829268,47,-0.341,0.368,0.7802,0.7802,0.973557317,1.095,,,,,,
2015020051,5,9,0,1,0,2,36,23,11,3,0,47.6,6,8,0.512195122,56.7,0.098,0.444,0.8172,0.8172,1.239148781,0.881,,,,,,
2015020051,9,5,1,0,0,0,22,29,11,3,0,52.4,4,6,0.353658537,42.1,-0.586,0.3652,0.6954,0.6954,0.801914634,0.819,,,,,,
2015020052,15,16,0,1,0,4,24,29,2,2,1,50,16,7,0.5,56.7,-0.122,0.4228,0.75,0.75,1.1422,2.185,,,,,,
2015020052,16,15,1,0,0,1,27,16,4,1,0,50,6,5,0.5,58.5,0.134,0.452,0.7822,0.7822,1.2476,0.79,,,,,,
2015020053,3,8,1,0,0,0,25,28,12,5,0,46.5,11,8,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,0.675,,,,,,
2015020053,8,3,0,1,0,3,32,17,12,5,0,53.5,21,5,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,0.5,,,,,,
2015020054,25,14,1,1,0,5,22,21,6,3,2,33.9,2,6,0.56097561,59.8,0.366,0.4948,0.9046,0.9046,1.405743903,2.684,,,,,,
2015020054,14,25,0,0,0,3,33,24,19,2,0,66.1,4,6,0.573170732,62.8,0.33,0.4338,0.8912,0.8912,1.407842683,0.961,,,,,,
2015020055,7,13,1,0,0,2,26,29,10,6,1,42.6,1,4,0.463414634,50,-0.207,0.4384,0.8244,0.8244,1.085903659,1.291,,,,,,
2015020055,13,7,0,1,0,3,29,31,12,5,2,57.4,4,4,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,2.099,,,,,,
2015020056,19,22,1,1,0,4,29,31,10,4,1,43.5,15,4,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,1.31,,,,,,
2015020056,22,19,0,0,0,2,26,29,8,5,0,56.5,13,8,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,0.79,,,,,,
2015020057,30,53,1,1,0,4,24,21,18,5,1,41.7,4,4,0.46341,53,0.11,0.25548,0.823,0.468,1.0599725,1.182,,,,,,
2015020057,53,30,0,0,0,3,30,22,24,7,0,58.3,6,4,0.42682,47.6,-0.439,0.62304,0.61392,0.3612,0.872495,0.713,,,,,,
2015020058,1,28,0,0,0,1,32,35,4,6,1,37.3,9,5,0.548780488,61,0.195,0.5168,0.8658,0.8658,1.358045122,1.248,,,,,,
2015020058,28,1,1,1,0,1,34,26,14,1,0,62.7,2,4,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,0.997,,,,,,
2015020059,29,10,0,0,0,3,27,43,4,4,1,41.1,11,7,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,1.526,,,,,,
2015020059,10,29,1,1,0,6,34,29,10,1,0,58.9,3,5,0.426829268,52.4,-0.305,0.3826,0.7528,0.7528,1.026507317,1.014,,,,,,
